中文名,学名,保护级别 State Priority Levels
亚历山大鹦鹉,Psittacula eupatria,
红领绿鹦鹉,Psittacula krameri,
灰头鹦鹉,Psittacula finschii,
花头鹦鹉,Psittacula roseata,
大紫胸鹦鹉,Psittacula derbiana,
绯胸鹦鹉,Psittacula alexandri,
鸦鹃（所有种）,Centropus spp.,II
小鸦鹃,Centropus bengalensis,
褐翅鸦鹃,Centropus sinensis,
鴞形目（所有种）,STRIGIFORMES,II
仓鸮,Tyto alba,
东方草鸮,Tyto longimembris,
栗鸮,Phodilus badius,
黄嘴角鸮,Otus spilocephalus,
领角鸮,Otus lettia,
纵纹角鸮,Otus brucei,
西红角鸮,Otus scops,
红角鸮,Otus sunia,
兰屿角鸮,Otus elegans,
雕鸮,Bubo bubo,
林雕鸮,Bubo nipalensis,
雪鸮,Bubo scandiacus,
灰喉针尾雨燕,Hirundapus cochinchinensis,II
凤头雨燕,Hemiprocne longipennis,II
橙胸咬鹃,Harpactes oreskios,II
蓝耳翠鸟,Alcedo meninting,II
鹳嘴翠鸟,Pelargopsis capensis,II
黑胸蜂虎,Merops leschenaulti,II
绿喉蜂虎,Merops orientalis,II
犀鸟科（所有种）,Bucertidae,II
冠斑犀鸟,Anthracoceros albirostris,
双角犀鸟,Buceros bicornis,
白喉犀鸟,Anorrhinus tickelli,
棕颈犀鸟,Aceros nipalensis,
花冠皱盔犀鸟,Aceros undulatus,
白腹黑啄木鸟,Dryocopus javensis,II
阔嘴鸟科（所有种）,Eurylaimidae,II
长尾阔嘴鸟,Psarisomus dalhousiae,
银胸丝冠鸟,Serilophus lunatus ,
八色鸫科（所有种）,Pittidae,II
双辫八色鸫,Pitta phayrei,
蓝枕八色鸫,Pitta nipalensis,
蓝背八色鸫,Pitta soror,
栗头八色鸫,Pitta oatesi,
蓝八色鸫,Pitta cyanea,
绿胸八色鸫,Pitta sordida,
印度八色鸫,Pitta brachyura,
仙八色鸫,Pitta nympha,
蓝翅八色鸫,Pitta moluccensis,
*地龟,Geoemyda spengleri,II
*三线闭壳龟,Cuora trifasciata,II
*云南闭壳龟,Cuora yunnanensis,II
四爪陆龟,Testudo horsfieldi,Ⅰ
凹甲陆龟,Manouria impressa,II
*蠵龟,Caretta caretta,II
*绿海龟,Chelonia mydas,II
*玳瑁,Eretmochelys imbricata,II
*太平洋丽龟,Lepidochelys olivacea,II
*棱皮龟,Dermochelys coriacea,II
*鼋,Pelochelys bibroni,Ⅰ
*山瑞鳖,Trionyx steindachneri,II
大壁虎,Gekko gecko,II
蜥鳄,Shinisaurus crocodilurus,Ⅰ
巨蜥,Varanus salvator,Ⅰ
蟒,Python molurus,Ⅰ
扬子鳄,Alligator sinensis,Ⅰ
*大鲵,Andrias davidianus,II
*细痣疣螈,Tylototriton asperrimus,II
*镇海疣螈,Tylototriton chinhaiensis,II
*贵州疣螈,Tylototriton kweichowensis,II
*大凉疣螈,Tylototriton taliangensis,II
*细瘰疣螈,Tylototriton verrucosus,II
虎纹蛙,Rana tigrina,II
*黄唇鱼,Bahaba flavolabiata,II
*松江鲈鱼,Trachidermus fasciatus,II
*克氏海马鱼,Hippocampus kelloggi,II
*胭脂鱼,Myxocyprinus asiaticus,II
*唐鱼,Tanichthys albonubes,II
*大头鲤,Cyprinus pellegrini,II
*金钱鲃,Sinocyclocheilus grahami grahami,II
*新疆大头鱼,Aspiorhynchus laticeps,Ⅰ
*大理裂腹鱼,Schizothorax taliensis,II
*花鳗鲡,Anguilla marmorata,II
*川陕哲罗鲑,Hucho bleekeri,II
*秦岭细鳞鲑,Brachymystax lenok tsinlingensis,II
*中华鲟,Acipenser sinensis,Ⅰ
*达氏鲟,Acipenser dabryanus,Ⅰ
*白鲟,Psephurus gladius,Ⅰ
*文昌鱼,Branchiotoma belcheri,II
*红珊瑚,Corallium spp.,Ⅰ
*虎斑宝贝,Cypraea tigris,II
*冠螺,Cassis cornuta,II
*大珠母贝,Pinctada maxima,II
*库氏砗磲,Tridacna cookiana,Ⅰ
*佛耳丽蚌,Lamprotula mansuyi,II
*鹦鹉螺,Nautilus pompilius,Ⅰ
伟铗,Atlasjapyx atlas,II
宽纹北箭蜓,Ophiogomphus spinicorne,II
缺翅目,ZORAPTERA,II
中华缺翅虫,Zorotypus sinensis,II
墨脱缺翅虫,Zorotypus medoensis,II
中华蛩蠊,Galloisiana sinensis,Ⅰ
拉步甲,Carabus (Coptolabrus) lafossei,II
硕步甲,Carabus (Apotopterus) davidi,II
彩臂金龟（所有种）,Cheirotonus spp.,II
叉犀金龟,Allomyrina davidis,II
金斑喙凤蝶,Teinopalpus aureus,Ⅰ
双尾褐凤蝶,Bhutanitis mansfieldi,II
三尾褐凤蝶,Bhutanitis thaidina dongchuanensis,II
中华虎凤蝶,Luehdorfia chinensis huashanensis,II
阿波罗绢蝶,Parnassius apollo,II
*多鳃孔舌形虫,Glossobalanus polybranchioporus,Ⅰ
*黄岛长吻虫,Saccoglossus hwangtauensis,Ⅰ
