中文名,学名,临危等级 Red List Status
天山黄鼠,Spermophilus relictus,LC 
窄脊江豚,Neophocaena asiaeorientalis,CR
灰旱獭,Marmota baibacina,LC 
印太江豚,Neophocaena phocaenoides,VU
长尾旱獭,Marmota caudata,LC 
喜马拉雅旱獭,Marmota himalayana,LC 
糙齿海豚,Steno bredanensis,LC
西伯利亚旱獭,Marmota sibirica,LC 
中华白海豚,Sousa chinensis,EN
毛耳飞鼠,Belomys pearsonii,LC 
热带点斑原海豚,Stenella attenuata,LC
复齿鼯鼠,Trogopterus xanthipes,VU
条纹原海豚,Stenella coeruleoalba,LC
红白鼯鼠,Petaurista alborufus,LC 
飞旋原海豚,Stenella longirostris,DD
灰头小鼯鼠,Petaurista caniceps,LC 
长喙真海豚,Delphinus capensis,DD
台湾大鼯鼠,Petaurista grandis,DD 
短喙真海豚,Delphinus delphis,LC
海南大鼯鼠,Petaurista hainana,DD 
印太瓶鼻海豚,Tursiops aduncus,DD
白颊鼯鼠(黑龙江鼯鼠),Petaurista leucogenys,DD 
瓶鼻海豚,Tursiops truncatus,LC
丽鼯鼠,Petaurista magnificus,NT 
弗氏海豚,Lagenodelphis hosei,LC
白斑小鼯鼠,Petaurista marica,LC
里氏海豚,Grampus griseus,LC
红背鼯鼠,Petaurista petaurista,VU
太平洋斑纹海豚,Lagenorhynchus obliquidens,LC
霜背大鼯鼠,Petaurista philippensis,LC 
瓜头鲸,Peponocephala electra,LC
橙色小鼯鼠,Petaurista sybilla*,LC 
虎鲸,Orcinus orca,DD
灰鼯鼠,Petaurista xanthotis,LC 
伪虎鲸,Pseudorca crassidens,DD
云南大鼯鼠,Petaurista yunanensis*,DD 
小虎鲸,Feresa attenuata,DD
沟牙鼯鼠,Aeretes melanopterus,NT 
短肢领航鲸,Globicephala macrorhynchus,DD
绒毛鼯鼠,Eupetaurus cinereus,DD 
小飞鼠,Pteromys volans,VU
黑白飞鼠,Hylopetes alboniger,NT 
松鼠,Sciurus vulgaris,NT
海南小飞鼠,Hylopetes phayrei,LC 
金背松鼠,Callosciurus caniceps*,LC
赤腹松鼠,Callosciurus erythraeus,LC
河狸,Castor fiber,CR
印支松鼠,Callosciurus inornatus,LC
黄足松鼠,Callosciurus phayrei,LC
原仓鼠,Cricetus cricetus,NT 
蓝腹松鼠,Callosciurus pygerythrus,LC
高山仓鼠,Cricetulus alticola,DD 
五纹松鼠,Callosciurus quinquestriatus,NT
黑线仓鼠,Cricetulus barabensis,LC 
明纹花松鼠,Tamiops macclellandii,LC
藏仓鼠,Cricetulus kamensis,NT 
倭花鼠,Tamiops maritimus,LC
长尾仓鼠,Cricetulus longicaudatus,LC 
隐纹花松鼠,Tamiops swinhoei,LC
灰仓鼠,Cricetulus migratorius,LC 
橙喉长吻松鼠,Dremomys gularis,NT
萨氏仓鼠,Cricetulus sokolovi*,LC 
橙腹长吻松鼠,Dremomys lokriah,NT
大仓鼠,Tscherskia triton,LC 
珀氏长吻松鼠,Dremomys pernyi,LC
甘肃仓鼠,Cansumys canus,LC 
红腿长吻松鼠,Dremomys pyrrhomerus,NT
无斑短尾仓鼠,Allocricetulus curtatus,LC 
红颊长吻松鼠,Dremomys rufigenis,LC
短尾仓鼠,Allocricetulus eversmanni,LC 
巨松鼠,Ratufa bicolor,VU
坎氏毛足鼠,Phodopus campbelli,DD 
条纹松鼠,Menetes berdmorei,LC
小毛足鼠,Phodopus roborovskii,LC 
岩松鼠,Sciurotamias davidianus,LC
林旅鼠,Myopus schisticolor,NT 
侧纹岩松鼠,Rupestes forresti,LC
鼹形田鼠,Ellobius talpinus,LC 
北花松鼠,Tamias sibiricus,LC
灰棕背?,Myodes centralis,LC 
天山林?,Myodes frater,LC
蒙古兔尾鼠,Eolagurus przewalskii,NT 
棕背?,Myodes rufocanus,LC
沟牙田鼠,Proedromys bedfordi,VU
红背?,Myodes rutilus,LC
凉山沟牙田鼠,Proedromys liangshanensis,NT 
山西林?,Myodes shanseius,DD 
克钦绒鼠,Eothenomys cachinus,NT
长尾攀鼠,Vandeleuria oleracea,NT 
中华绒鼠,Eothenomys chinensis,NT
小狨鼠,Hapalomys delacouri,VU
西南绒鼠,Eothenomys custos,LC
长尾狨鼠,Hapalomys longicaudatus,DD 
滇绒鼠,Eothenomys eleusis,LC
笔尾树鼠,Chiropodomys gliroides,LC 
康定绒鼠,Eothenomys hintoni,NT
费氏树鼠,Chiromyscus chiropus,LC 
黑腹绒鼠,Eothenomys melanogaster,LC
滇攀鼠,Vernaya fulva,EN
大绒鼠,Eothenomys miletus,LC
红耳巢鼠,Micromys erythrotis,LC 
昭通绒鼠,Eothenomys olitor,NT
巢鼠,Micromys minutus,LC 
玉龙绒鼠,Eothenomys proditor,NT
黑线姬鼠,Apodemus agrarius,LC 
川西绒鼠,Eothenomys tarquinius*,NT
齐氏姬鼠,Apodemus chevrieri,LC 
德钦绒鼠,Eothenomys wardi,NT
中华姬鼠,Apodemus draco,LC 
洮州绒鼠,Caryomys eva,LC
澜沧江姬鼠,Apodemus ilex,LC 
苛岚绒鼠,Caryomys inez,LC
大耳姬鼠,Apodemus latronum,LC 
银色高山?,Alticola argentatus,DD
长尾姬鼠,Apodemus orestes,LC 
戈壁阿尔泰高山?,Alticola barakshin,LC
喜马拉雅姬鼠,Apodemus pallipes,DD 
大耳高山?,Alticola macrotis,LC
大林姬鼠,Apodemus peninsulae,LC 
蒙古高山?,Alticola semicanus,LC
台湾姬鼠,Apodemus semotus,LC 
斯氏高山?,Alticola stoliczkanus,NT
乌拉尔姬鼠,Apodemus uralensis,DD 
扁颅高山?,Alticola strelzowi,LC
休氏壮鼠,Hadromys humei,NT 
草原兔尾鼠,Lagurus lagurus,LC
云南壮鼠,Hadromys yunnanensis,NT 
水?,Arvicola amphibius,LC
