中文名,学名,临危等级 Red List Status
红腹旋木雀,Certhia nipalensis,LC 
中华攀雀,Remiz consobrinus,LC
褐喉旋木雀,Certhia discolor,LC 
火冠雀,Cephalopyrus flammiceps,LC
厚嘴啄花鸟,Dicaeum agile,LC 
银喉长尾山雀,Aegithalos caudatus,LC
黄臀啄花鸟,Dicaeum chrysorrheum,LC 
红头长尾山雀,Aegithalos concinnus,LC
黄腹啄花鸟,Dicaeum melanoxanthum,LC 
棕额长尾山雀,Aegithalos iouschistos,LC
纯色啄花鸟,Dicaeum concolor,LC 
黑眉长尾山雀,Aegithalos bonvaloti,LC
红胸啄花鸟,Dicaeum ignipectus,LC 
银脸长尾山雀,Aegithalos fuliginosus,LC
朱背啄花鸟,Dicaeum cruentatum,LC 
沼泽山雀,Parus palustris,LC
紫颊太阳鸟,Chalcoparia singalensis,LC 
北褐头山雀,Parus montanus,LC
褐喉食蜜鸟,Anthreptes malacensis,LC 
褐头山雀,Parus songarus,LC
蓝枕花蜜鸟,Hypogramma hypogrammicum,LC 
白眉山雀,Parus superciliosus,NT
紫花蜜鸟,Cinnyris asiaticus,LC 
红腹山雀,Parus davidi,LC
黄腹花蜜鸟,Cinnyris jugularis,LC 
煤山雀,Parus ater,LC
蓝喉太阳鸟,Aethopyga gouldiae,LC 
棕枕山雀,Parus rufonuchalis,LC
绿喉太阳鸟,Aethopyga nipalensis,LC 
黑冠山雀,Parus rubidiventris,LC
叉尾太阳鸟,Aethopyga christinae,LC 
黄腹山雀,Parus venustulus,LC
黑胸太阳鸟,Aethopyga saturata,LC 
褐冠山雀,Parus dichrous,LC
黄腰太阳鸟,Aethopyga siparaja,LC 
大山雀,Parus major,LC
火尾太阳鸟,Aethopyga ignicauda,LC 
西域山雀,Parus bokharensis,LC
长嘴捕蛛鸟,Arachnothera longirostra,LC 
绿背山雀,Parus monticolus,LC
纹背捕蛛鸟,Arachnothera magna,LC 
眼纹黄山雀,Parus xanthogenys,LC
黄颊山雀,Parus spilonotus,LC
黑顶麻雀,Passer ammodendri,LC 
台湾黄山雀,Parus holsti,LC
家麻雀,Passer domesticus,LC 
灰蓝山雀,Parus cyanus,LC
黑胸麻雀,Passer hispaniolensis,LC 
杂色山雀,Parus varius,NT
山麻雀,Passer rutilans,LC 
黄胸山雀,Cyanistes flavipectus,DD
麻雀,Passer montanus,LC 
地山雀,Pseudopodoces humilis,LC
石雀,Petronia petronia,LC 
黄眉林雀,Sylviparus modestus,LC
白斑翅雪雀,Montifringilla nivalis,LC 
冕雀,Melanochlora sultanea,DD
藏雪雀,Montifringilla henrici,NT 
褐翅雪雀,Montifringilla adamsi,LC 
栗腹,Sitta castanea,LC
白腰雪雀,Onychostruthus taczanowskii,LC 
普通,Sitta europaea,LC
黑喉雪雀,Pyrgilauda davidiana,LC 
栗臀,Sitta nagaensis,LC
棕颈雪雀,Pyrgilauda ruficollis,LC 
白尾,Sitta himalayensis,NT
棕背雪雀,Pyrgilauda blanfordi,LC 
黑头,Sitta villosa,NT
滇,Sitta yunnanensis,VU
纹胸织雀,Ploceus manyar,LC 
白脸,Sitta leucopsis,NT
黄胸织雀,Ploceus philippinus,LC 
绒额,Sitta frontalis,DD
淡紫,Sitta solangiae,VU
红梅花雀,Amandava amandava,DD 
巨,Sitta magna,EN
橙颊梅花雀,Estrilda melpoda,DD 
白喉文鸟,Lonchura malabarica,LC
灰腹灰雀,Pyrrhula griseiventris,LC 
白腰文鸟,Lonchura striata,LC
锡嘴雀,Coccothraustes coccothraustes,LC 
斑文鸟,Lonchura punctulata,LC
黑尾蜡嘴雀,Eophona migratoria,LC 
栗腹文鸟,Lonchura malacca,LC
黑头蜡嘴雀,Eophona personata,NT 
禾雀,Padda oryzivora,VU
黄颈拟蜡嘴雀,Mycerobas affinis,LC 
白点翅拟蜡嘴雀,Mycerobas melanozanthos,LC 
苍头燕雀,Fringilla coelebs,LC
白斑翅拟蜡嘴雀,Mycerobas carnipes,LC 
燕雀,Fringilla montifringilla,LC
金枕黑雀,Pyrrhoplectes epauletta,LC 
林岭雀,Leucosticte nemoricola,LC
红翅沙雀,Rhodopechys sanguineus,LC 
高山岭雀,Leucosticte brandti,LC
蒙古沙雀,Rhodopechys mongolicus,LC 
褐头岭雀,Leucosticte sillemi,DD
巨嘴沙雀,Rhodospiza obsoleta,DD 
粉红腹岭雀,Leucosticte arctoa,LC
长尾雀,Uragus sibiricus,LC 
松雀,Pinicola enucleator,LC
血雀,Haematospiza sipahi,LC 
红眉松雀,Pinicola subhimachala,LC
赤朱雀,Carpodacus rubescens,LC
朱鹀,Urocynchramus pylzowi,NT 
暗胸朱雀,Carpodacus nipalensis,LC
凤头鹀,Melophus lathami,LC 
普通朱雀,Carpodacus erythrinus,LC
蓝鹀,Latoucheornis siemsseni,LC 
红眉朱雀,Carpodacus pulcherrimus,LC
黄鹀,Emberiza citrinella,LC 
曙红朱雀,Carpodacus eos,LC
白头鹀,Emberiza leucocephalos,LC 
粉眉朱雀,Carpodacus rodochroa,LC
藏鹀,Emberiza koslowi,VU
酒红朱雀,Carpodacus vinaceus,LC
淡灰眉岩鹀,Emberiza cia,LC 
棕朱雀,Carpodacus edwardsii,LC
灰眉岩鹀,Emberiza godlewskii,LC 
沙色朱雀,Carpodacus synoicus,LC
三道眉草鹀,Emberiza cioides,LC 
北朱雀,Carpodacus roseus,LC
栗斑腹鹀,Emberiza jankowskii,EN
斑翅朱雀,Carpodacus trifasciatus,LC
灰颈鹀,Emberiza buchanani,LC 
点翅朱雀,Carpodacus rodopeplus,LC
圃鹀,Emberiza hortulana,LC 
白眉朱雀,Carpodacus thura,LC
红颈苇鹀,Emberiza yessoensis,NT 
红腰朱雀,Carpodacus rhodochlamys,LC
白眉鹀,Emberiza tristrami,NT 
拟大朱雀,Carpodacus rubicilloides,NT
栗耳鹀,Emberiza fucata,LC 
大朱雀,Carpodacus rubicilla,LC
小鹀,Emberiza pusilla,LC 
红胸朱雀,Carpodacus puniceus,LC
黄眉鹀,Emberiza chrysophrys,LC 
藏雀,Kozlowia roborowskii,VU
田鹀,Emberiza rustica,LC 
红交嘴雀,Loxia curvirostra,LC
黄喉鹀,Emberiza elegans,LC 
白翅交嘴雀,Loxia leucoptera,LC
黄胸鹀,Emberiza aureola,EN
高山金翅雀,Carduelis spinoides,LC
栗鹀,Emberiza rutila,LC 
欧金翅雀,Carduelis chloris,LC
黑头鹀,Emberiza melanocephala,LC 
黑头金翅雀,Carduelis ambigua,LC
褐头鹀,Emberiza bruniceps,LC 
白腰朱顶雀,Carduelis flammea,LC
硫黄鹀,Emberiza sulphurata,VU
极北朱顶雀,Carduelis hornemanni,LC
灰头鹀,Emberiza spodocephala,LC 
黄雀,Carduelis spinus,LC
灰鹀,Emberiza variabilis,LC 
藏黄雀,Carduelis thibetana,NT
苇鹀,Emberiza pallasi,LC 
红额金翅雀,Carduelis carduelis,LC
芦鹀,Emberiza schoeniclus,LC 
金翅雀,Carduelis sinica,LC
黍鹀,Emberiza calandra,LC 
黄嘴朱顶雀,Carduelis flavirostris,LC
铁爪鹀,Calcarius lapponicus,NT 
赤胸朱顶雀,Carduelis cannabina,LC
雪鹀,Plectrophenax nivalis,LC 
金额丝雀,Serinus pusillus,LC
褐灰雀,Pyrrhula nipalensis,LC
红头灰雀,Pyrrhula erythrocephala,LC
灰头灰雀,Pyrrhula erythaca,LC
马来切喙鳄,Tomistoma schlegelii,RE 
红腹灰雀,Pyrrhula pyrrhula,LC
湾鳄,Crocodylus porosus,RE
锯缘闭壳龟,Cuora mouhotii,CR
地龟,Geoemyda spengleri,EN
扬子鳄,Alligator sinensis,CR
眼斑水龟,Sacalia bealei,EN
四眼斑水龟,Sacalia quadriocellata,EN
齿缘摄龟,Cyclemys dentata,DD 
山瑞鳖,Palea steindachneri,EN
欧氏摄龟,Cyclemys oldhami,DD 
鼋,Pelochelys cantorii,CR
斑鳖,Rafetus swinhoei,CR
中华鳖,Pelodiscus sinensis,EN
白尾双足蜥,Dibamus bourreti,VU
东北鳖,Pelodiscus maackii,DD
香港双足蜥,Dibamus bogadeki,VU
小鳖,Pelodiscus parviformis,EN
砂鳖,Pelodiscus axenaria,EN
里氏睑虎,Goniurosaurus lichtenfelderi,VU
凭祥睑虎,Goniurosaurus luii,NT 
棱皮龟,Dermochelys coriacea,CR
霸王岭睑虎,Goniurosaurus bawanglingensis,VU
英德睑虎,Goniurosaurus yingdeensis,CR
红海龟,Caretta caretta,CR
海南睑虎,Goniurosaurus hainanensis,VU
绿海龟,Chelonia mydas,CR
荔波睑虎,Goniurosaurus liboensis,EN
玳瑁,Eretmochelys imbricata,CR
太平洋丽龟,Lepidochelys olivacea,CR
伊犁沙虎,Teratoscincus scincus,EN
新疆沙虎,Teratoscincus przewalskii,NT 
平胸龟,Platysternon megacephalum,CR
吐鲁番沙虎,Teratoscincus roborowskii,NT 
四爪陆龟,Testudo horsfieldii,CR
长弯脚虎,Cyrtopodion elongatus,LC 
凹甲陆龟,Manouria impressa,CR
大敦弯脚虎,Cyrtopodion dadunensis,DD 
缅甸陆龟,Indotestudo elongata,CR
墨脱弯脚虎,Cyrtopodion medogensis,DD 
宽斑隆趾虎,Altiphylax stoliczkai,DD 
乌龟,Mauremys reevesii,EN
灰中趾虎,Mediodactylus russowii,VU
黑颈乌龟,Mauremys nigricans,CR
瓦氏裸趾虎,Cyrtodactylus wayakonei,DD 
黄喉拟水龟,Mauremys mutica,EN
卡西裸趾虎,Cyrtodactylus khasiensis,DD 
花龟,Mauremys sinensis,EN
西藏裸趾虎,Cyrtodactylus tibetanus,LC 
黄缘闭壳龟,Cuora flavomarginata,CR
赵氏裸趾虎,Cyrtodactylus zhaoermii,DD 
黄额闭壳龟,Cuora galbinifrons,CR
雅美鳞趾虎,Lepidodactylus yami,VU
金头闭壳龟,Cuora aurocapitata,CR
哀鳞趾虎,Lepidodactylus lugubris,VU
潘氏闭壳龟,Cuora pani,CR
半叶趾虎,Hemiphyllodactylus typus,DD 
百色闭壳龟,Cuora mccordi,CR
云南半叶趾虎,Hemiphyllodactylus yunnanensis,NT 
周氏闭壳龟,Cuora zhoui,CR
截趾虎,Gehyra mutilata,VU
云南闭壳龟,Cuora yunnanensis,CR
隐耳漠虎,Alsophylax pipiens,LC 
三线闭壳龟,Cuora trifasciata,CR
新疆漠虎,Alsophylax przewalskii,VU
原尾蜥虎,Hemidactylus bowringii,LC
瓦山滑蜥,Scincella barbouri,NT 
疣尾蜥虎,Hemidactylus frenatus,LC
锡金滑蜥,Scincella sikimmensis,LC 
密疣蜥虎,Hemidactylus brookii,LC
长肢滑蜥,Scincella doriae,LC 
史氏蜥虎,Hemidactylus stejnegeri,VU
喜山滑蜥,Scincella himalayanus,NT  
缅北蜥虎,Hemidactylus aquilonius,DD
山滑蜥,Scincella monticola,LC 
蝎尾蜥虎,Hemidactylus platyurus,NT
宁波滑蜥,Scincella modesta,LC 
锯尾蜥虎,Hemidactylus garnotii,LC
桓仁滑蜥,Scincella huanrenensis,NT 
兰屿壁虎,Gekko kikuchii,VU
台湾滑蜥,Scincella formosensis,LC  
粗疣壁虎,Gekko scabridus,LC
昆明滑蜥,Scincella schmidti,NT 
大壁虎,Gekko gecko,CR
西域滑蜥,Scincella przewalskii,NT 
黑疣大壁虎,Gekko reevesii,CR
中国棱蜥,Tropidophorus sinicus,LC 
耳疣壁虎,Gekko auriverrucosus,DD
海南棱蜥,Tropidophorus hainanus,LC 
中国壁虎,Gekko chinensis,LC
广西棱蜥,Tropidophorus guangxiensis,NT 
铅山壁虎,Gekko hokouensis,LC
缅甸棱蜥,Tropidophorus berdmorei,LC 
多疣壁虎,Gekko japonicus,LC
光蜥,Ateuchosaurus chinensis,LC 
蹼趾壁虎,Gekko subpalmatus,LC
岩岸岛蜥,Emoia atrocostata,LC 
无蹼壁虎,Gekko swinhonis,VU
太白壁虎,Gekko taibaiensis,LC
北草蜥,Takydromus septentrionalis,LC 
荔波壁虎,Gekko liboensis,LC
南草蜥,Takydromus sexlineatus,LC 
文县壁虎,Gekko wenxianensis,LC
黑龙江草蜥,Takydromus amurensis,LC 
梅氏壁虎,Gekko melli,VU
雪山草蜥,Takydromus hsuehshanensis,LC
鹰氏壁虎,Gekko adleri,DD
恒春草蜥,Takydromus sauteri,NT 
海南壁虎,Gekko similignum,DD
蓬莱草蜥,Takydromus stejnegeri,LC 
白条草蜥,Takydromus wolteri,LC 
铜蜓蜥,Sphenomorphus indicus,LC
台湾草蜥,Takydromus formosanus,LC 
股鳞蜓蜥,Sphenomorphus incognitus,NT
崇安草蜥,Takydromus sylvaticus,EN
斑蜓蜥,Sphenomorphus maculatus,LC
峨眉草蜥,Takydromus intermedius,NT 
台湾蜓蜥,Sphenomorphus taiwanensis,LC
古氏草蜥,Takydromus kuehnei,LC 
墨脱蜓蜥,Sphenomorphus courcyanum,NT
鹿野草蜥,Takydromus luyeanus,LC 
北部湾蜓蜥,Sphenomorphus tonkinensis,LC
翠斑草蜥,Takydromus viridipunctatus,LC 
蓝尾石龙子,Plestiodon elegans,LC
虫纹麻蜥,Eremias vermiculata,LC 
中国石龙子,Plestiodon chinensis,LC
山地麻蜥,Eremias brenchleyi,LC 
崇安石龙子,Plestiodon popei,NT
荒漠麻蜥,Eremias przewalskii,LC 
四线石龙子,Plestiodon quadrilineatus,LC
网纹麻蜥,Eremias grammica,VU
黄纹石龙子,Plestiodon capito,LC
敏麻蜥,Eremias arguta,LC 
刘氏石龙子,Plestiodon liui,LC
丽斑麻蜥,Eremias argus,LC 
大渡石龙子,Plestiodon tunganus,NT
快步麻蜥,Eremias velox,LC 
越南石龙子,Plestiodon tamdaoensis,VU
密点麻蜥,Eremias multiocellata,LC  
侏蜥,Lygosoma bowringii,DD
莎车麻蜥,Eremias yarkandensis,LC 
多线南蜥,Eutropis multifasciata,LC
方额麻蜥,Eremias quadrifrons,DD 
长尾南蜥,Eutropis longicaudata,LC
科克沙尔麻蜥,Eremias kokshaaliensis,DD 
多棱南蜥,Eutropis multicarinata,LC
天山麻蜥,Eremias stummeri,DD 
库氏南蜥,Eutropis cumingi,DD
喀什麻蜥,Eremias buechneri,DD 
阿赖山泛蜥,Ablepharus alaicus,LC
捷蜥蜴,Lacerta agilis,LC 
沙地泛蜥,Ablepharus deserti,DD
胎蜥,Zootoca vivipara,LC 
拉达克滑蜥,Scincella ladacensis,LC
南滑蜥,Scincella reevesii,LC
脆蛇蜥,Dopasia harti,EN
康定滑蜥,Scincella potanini,LC
海南脆蛇蜥,Dopasia hainanensis,EN
秦岭滑蜥,Scincella tsinlingensis,LC
细脆蛇蜥,Dopasia gracilis,EN
草原沙蜥,Phrynocephalus frontalis,LC 
鳄蜥,Shinisaurus crocodilurus,CR
奇台沙蜥,Phrynocephalus grumgrzimailoi,LC  
宽鼻沙蜥,Phrynocephalus nasatus,DD 
伊江巨蜥,Varanus irrawadicus,CR
南疆沙蜥,Phrynocephalus forsythii,LC 
圆鼻巨蜥,Varanus salvator,CR
乌拉尔沙蜥,Phrynocephalus guttatus,LC 
西藏沙蜥,Phrynocephalus theobaldi,LC 
斑飞蜥,Draco maculatus,LC
叶城沙蜥,Phrynocephalus axillaris,LC 
裸耳飞蜥,Draco blanfordii,LC
贵德沙蜥,Phrynocephalus putjatai,NT 
喉褶蜥,Ptyctolaemus gularis,LC
贵南沙蜥,Phrynocephalus guinanensis,VU
蜡皮蜥,Leiolepis reevesii,EN
黑腹沙蜥,Phrynocephalus melanurus,DD 
异鳞蜥,Oriocalotes paulus,DD
伊犁沙蜥,Phrynocephalus alpherakii,DD 
长鬣蜥,Physignathus cocincinus,EN
丽棘蜥,Acanthosaura lepidogaster,LC 
拉萨岩蜥,Laudakia sacra,NT
长棘蜥,Acanthosaura armata,VU
南亚岩蜥,Laudakia tuberculata,NT
白唇树蜥,Calotes mystaceus,LC 
吴氏岩蜥,Laudakia wui,NT
变色树蜥,Calotes versicolor,LC 
西藏岩蜥,Laudakia papenfussi,DD
绿背树蜥,Calotes jerdoni,VU
喜山岩蜥,Laudakia himalayana,DD
墨脱树蜥,Calotes medogensis,VU
新疆岩蜥,Laudakia stoliczkana,LC
棕背树蜥,Calotes emma,LC 
草绿攀蜥,Japalura flaviceps,LC
蚌西拟树蜥,Pseudocalotes kakhienensis,LC 
短肢攀蜥,Japalura brevipes,NT
短肢拟树蜥,Pseudocalotes brevipes,NT 
昆明攀蜥,Japalura varcoae,LC
西藏拟树蜥,Pseudocalotes kingdonwardi,NT 
丽纹攀蜥,Japalura splendida,LC
细鳞拟树蜥,Pseudocalotes microlepis,LC 
裸耳攀蜥,Japalura dymondi,LC
草原蜥,Trapelus sanguinolentus,LC 
米仓山攀蜥,Japalura micangshanensis,LC
四川攀蜥,Japalura szechwanensis,NT
白头钩盲蛇,Indotyphlops albiceps,DD 
台湾攀蜥,Japalura swinhonis,LC
钩盲蛇,Indotyphlops braminus,DD 
溪头攀蜥,Japalura makii,VU
香港盲蛇,Indotyphlops lazelli,CR
宜宾攀蜥,Japalura grahami,DD
恒春盲蛇,Argyrophis koshunensis,DD 
长肢攀蜥,Japalura andersoniana,LC
大盲蛇,Argyrophis diardii,DD 
喜山攀蜥,Japalura kumaonensis,VU
云南攀蜥,Japalura yunnanensis,LC
红沙蟒,Eryx miliaris,VU
琉球攀蜥,Japalura polygonata,DD
东方沙蟒,Eryx tataricus,VU
独龙江攀蜥,Japalura bapoensis,NT
汶川攀蜥,Japalura zhaoermii,DD
红尾筒蛇,Cylindrophis ruffus,DD 
巴塘攀蜥,Japalura batangensis,DD
宜兰攀蜥,Japalura luei,VU
海南闪鳞蛇,Xenopeltis hainanensis,NT 
绿背攀蜥,Japalura sagittifera,DD
闪鳞蛇,Xenopeltis unicolor,VU
雾林攀蜥,Japalura tricarinata,DD
短尾攀蜥,Japalura brevicauda,DD
蟒,Python bivittatus,CR
玉龙攀蜥,Japalura yulongensis,DD
变色沙蜥,Phrynocephalus versicolor,LC
瘰鳞蛇,Acrochordus granulatus,DD 
大耳沙蜥,Phrynocephalus mystaceus,EN
旱地沙蜥,Phrynocephalus helioscopus,LC
阿里山脊蛇,Achalinus niger,LC 
红尾沙蜥,Phrynocephalus erythrurus,LC
台湾脊蛇,Achalinus formosanus,LC 
青海沙蜥,Phrynocephalus vlangalii,LC
海南脊蛇,Achalinus hainanus,VU
荒漠沙蜥,Phrynocephalus przewalskii,LC
井冈山脊蛇,Achalinus jinggangensis,VU
黑脊蛇,Achalinus spinalis,LC
雪山蝮,Gloydius monticola,NT 
青脊蛇,Achalinus ater,LC
六盘山蝮,Gloydius liupanensis,NT 
美姑脊蛇,Achalinus meiguensis,LC
秦岭蝮,Gloydius qinlingensis,NT 
棕脊蛇,Achalinus rufescens,LC
蛇岛蝮,Gloydius shedaoensis,EN
中介蝮,Gloydius intermedius,NT 
平鳞钝头蛇,Pareas boulengeri,LC
庙岛蝮,Gloydius lijianlii,VU
棱鳞钝头蛇,Pareas carinatus,NT
岩栖蝮,Gloydius saxatilis,NT 
中国钝头蛇,Pareas chinensis,LC
台湾钝头蛇,Pareas formosensis,NT
中国沼蛇,Myrrophis chinensis,VU
缅甸钝头蛇,Pareas hamptoni,NT
黑斑沼蛇,Myrrophis bennettii,LC 
横纹钝头蛇,Pareas margaritophorus,NT
铅色蛇,Hypsiscopus plumbea,VU
喜山钝头蛇,Pareas monticola,NT
腹斑蛇,Subsessor bocourti,DD 
福建钝头蛇,Pareas stanleyi,LC
黑顶钝头蛇,Pareas nigriceps,DD
紫沙蛇,Psammodynastes pulverulentus,LC 
花条蛇,Psammophis lineolatus,NT 
白头蝰,Azemiops kharini,VU
黑头蝰,Azemiops feae,DD
福建华珊瑚蛇,Sinomicrurus kelloggi,LC 
泰国圆斑蝰,Daboia siamensis,EN
梭德氏华珊瑚蛇,Sinomicrurus sauteri,VU
东方蝰,Vipera renardi,EN
羽鸟氏华珊瑚蛇,Sinomicrurus hatori,VU
极北蝰,Vipera berus,EN
中华珊瑚蛇,Sinomicrurus macclellandi,VU
菜花原矛头蝮,Protobothrops jerdonii,LC
眼镜王蛇,Ophiophagus hannah,EN
原矛头蝮,Protobothrops mucrosquamatus,LC
舟山眼镜蛇,Naja atra,VU
缅北原矛头蝮,Protobothrops kaulbacki,DD
孟加拉眼镜蛇,Naja kaouthia,EN
乡城原矛头蝮,Protobothrops xiangchengensis,LC
环蛇,Bungarus bungaroides,DD 
莽山原矛头蝮,Protobothrops mangshanensis,CR
金环蛇,Bungarus fasciatus,EN
大别山原矛头蝮,Protobothrops dabieshanensis,DD
银环蛇,Bungarus multicinctus,EN
喜山原矛头蝮,Protobothrops himalayanus,DD
蓝灰扁尾海蛇,Laticauda colubrina,LC 
角原矛头蝮,Protobothrops cornutus,CR
扁尾海蛇,Laticauda laticaudata,NT 
茂兰原矛头蝮,Protobothrops maolanensis,DD
半环扁尾海蛇,Laticauda semifasciata,NT 
尖吻蝮,Deinagkistrodon acutus,EN
龟头海蛇,Emydocephalus ijimae,LC 
台湾烙铁头蛇,Ovophis makazayazaya,NT
青环海蛇,Hydrophis cyanocinctus,NT 
察隅烙铁头蛇,Ovophis zayuensis,DD
环纹海蛇,Hydrophis fasciatus,NT 
越南烙铁头蛇,Ovophis tonkinensis,LC
黑头海蛇,Hydrophis melanocephalus,DD 
山烙铁头蛇,Ovophis monticola,NT
淡灰海蛇,Hydrophis ornatus,LC 
墨脱绿蝮,Viridovipera medoensis,DD
棘眦海蛇,Hydrophis peronii,LC 
云南绿蝮,Viridovipera yunnanensis,LC
棘鳞海蛇,Hydrophis stokesii,LC 
福建绿蝮,Viridovipera stejnegeri,LC
青灰海蛇,Hydrophis caerulescens,NT 
冈氏绿蝮,Viridovipera gumprechti,LC
平颏海蛇,Hydrophis curtus,LC 
四川华蝮,Sinovipera sichuanensis,LC
小头海蛇,Hydrophis gracilis,NT 
西藏喜山蝮,Himalayophis tibetanus,DD
长吻海蛇,Hydrophis platura,LC 
白唇竹叶青蛇,Trimeresurus albolabris,LC
截吻海蛇,Hydrophis jerdonii,DD 
台湾竹叶青蛇,Trimeresurus gracilis,NT
海蝰,Hydrophis viperina,LC 
短尾蝮,Gloydius brevicaudus,NT
乌苏里蝮,Gloydius ussuriensis,NT
白眶蛇,Amphiesmoides ornaticeps,VU
高原蝮,Gloydius strauchi,NT
珠光蛇,Blythia reticulata,DD 
滑鳞蛇,Liopeltis frenatus,DD
乌梢蛇,Ptyas dhumnades,VU
黄腹杆蛇,Rhabdops bicolor,DD
黑网乌梢蛇,Ptyas carinata,EN
云南两头蛇,Calamaria yunnanensis,VU
黑线乌梢蛇,Ptyas nigromarginata,VU
钝尾两头蛇,Calamaria septentrionalis,LC
绿蛇,Rhadinophis prasinus,VU
尖尾两头蛇,Calamaria pavimentata,LC
灰腹绿蛇,Rhadinophis frenatus,LC 
福建颈斑蛇,Plagiopholis styani,LC
尖喙蛇,Rhynchophis boulengeri,VU
颈斑蛇,Plagiopholis blakewayi,LC
白环链蛇,Lycodon aulicus,NT 
云南颈斑蛇,Plagiopholis unipostocularis,DD
黑背链蛇,Lycodon ruhstrati,LC 
缅甸颈斑蛇,Plagiopholis nuchalis,VU
福清链蛇,Lycodon futsingensis,NT 
崇安斜鳞蛇,Pseudoxenodon karlschmidti,LC
细白链蛇,Lycodon subcinctus,LC 
大眼斜鳞蛇,Pseudoxenodon macrops,LC
双全链蛇,Lycodon fasciatus,LC 
横纹斜鳞蛇,Pseudoxenodon bambusicola,LC
老挝链蛇,Lycodon laoensis,DD 
纹尾斜鳞蛇,Pseudoxenodon stejnegeri,LC
东川链蛇,Lycodon synaptor,DD 
黑领剑蛇,Sibynophis collaris,LC
横纹链蛇,Lycodon multizonatum,NT 
黑头剑蛇,Sibynophis chinensis,LC
刘氏链蛇,Lycodon liuchengchaoi,LC 
绿瘦蛇,Ahaetulla prasina,LC
贡山链蛇,Lycodon gongshan,NT 
金花蛇,Chrysopelea ornata,VU
粉链蛇,Lycodon rosozonatum,EN
喜山过树蛇,Dendrelaphis biloreatus,DD
赤链蛇,Lycodon rufozonatum,LC 
过树蛇,Dendrelaphis pictus,LC
黄链蛇,Lycodon flavozonatum,LC 
八莫过树蛇,Dendrelaphis subocularis,DD
南方链蛇,Lycodon meridionale,DD 
香港过树蛇,Dendrelaphis hollinrakei,NT
北链蛇,Lycodon septentrionalis,LC 
广西林蛇,Boiga guangxiensis,VU
方花蛇,Archelaphe bella,VU
绿林蛇,Boiga cyanea,VU
玉斑蛇,Euprepiophis mandarinus,VU
繁花林蛇,Boiga multomaculata,LC
横纹玉斑蛇,Euprepiophis perlacea,EN
绞花林蛇,Boiga kraepelini,LC
紫灰蛇,Oreocryptophis porphyraceus,LC 
束纹小头蛇,Oligodon fasciolatus,NT
百花晨蛇,Orthriophis moellendorffi,EN
黑带小头蛇,Oligodon melanozonatus,DD
黑眉晨蛇,Orthriophis taeniurus,EN
菱斑小头蛇,Oligodon catenatus,NT
南峰晨蛇,Orthriophis hodgsonii,DD 
方斑小头蛇,Oligodon nagao,DD
坎氏晨蛇,Orthriophis cantoris,DD 
龙胜小头蛇,Oligodon lungshenensis,NT
赤峰锦蛇,Elaphe anomala,VU
饰纹小头蛇,Oligodon ornatus,NT
王锦蛇,Elaphe carinata,EN
台湾小头蛇,Oligodon formosanus,NT
团花锦蛇,Elaphe davidi,VU
泰北小头蛇,Oligodon joynsoni,VU
棕黑锦蛇,Elaphe schrenckii,VU
喜山小头蛇,Oligodon albocinctus,NT
白条锦蛇,Elaphe dione,LC 
圆斑小头蛇,Oligodon lacroixi,NT
双斑锦蛇,Elaphe bimaculata,LC 
中国小头蛇,Oligodon chinensis,LC
若尔盖锦蛇,Elaphe zoigeensis,LC 
紫棕小头蛇,Oligodon cinereus,LC
红纹滞卵蛇,Oocatochus rufodorsatus,LC 
宁陕线形蛇,Stichophanes ningshaanensis,NT
山坭蛇,Trachischium monticola,VU
三索蛇,Coelognathus radiatus,EN
小头坭蛇,Trachischium tenuiceps,VU
纯绿翠青蛇,Cyclophiops doriae,VU
草腹链蛇,Amphiesma stolatum,LC 
横纹翠青蛇,Cyclophiops multicinctus,NT
丽纹腹链蛇,Hebius optatum,LC 
翠青蛇,Cyclophiops major,LC
锈链腹链蛇,Hebius craspedogaster,LC 
秘纹蛇,Hemorrhois ravergieri,VU
无颞鳞腹链蛇,Hebius atemporale,NT  
黄脊东方蛇,Orientocoluber spinalis,LC
白眉腹链蛇,Hebius boulengeri,LC 
滑鼠蛇,Ptyas mucosa,EN
八线腹链蛇,Hebius octolineatum,LC 
灰鼠蛇,Ptyas korros,VU
坡普腹链蛇,Hebius popei,LC 
棕黑腹链蛇,Hebius sauteri,LC
腹斑腹链蛇,Hebius modestum,LC
棕网腹链蛇,Hebius johannis,LC
安吉小鲵,Hynobius amjiensis,CR
卡西腹链蛇,Hebius khasiense,DD
中国小鲵,Hynobius chinensis,EN
东亚腹链蛇,Hebius vibakari,VU
挂榜山小鲵,Hynobius guabangshanensis,CR
缅北腹链蛇,Hebius venningi,VU
东北小鲵,Hynobius leechii,VU
台北腹链蛇,Hebius miyajimae,EN
猫儿山小鲵,Hynobius maoershanensis,EN
黑带腹链蛇,Hebius bitaeniatum,NT
义乌小鲵,Hynobius yiwuensis,VU
瓦屋山腹链蛇,Hebius metusia,NT
阿里山小鲵,Hynobius arisanensis,EN
双带腹链蛇,Hebius parallelum,NT
台湾小鲵,Hynobius formosanus,EN
平头腹链蛇,Herpetoreas platyceps,VU
观雾小鲵,Hynobius fuca,EN
颈棱蛇,Macropisthodon rudis,LC
南湖小鲵,Hynobius glacialis,EN
台湾颈槽蛇,Rhabdophis swinhonis,NT
楚南小鲵,Hynobius sonani,EN
